LS	10:18  20 Jan 2022
File name:	MZdry_MZPB_02.$ls
File ID:	MZdry
Sample ID:	MZPB
Operator:	HBUCKLAND
Bar code:	
Comment 1:	
Comment 2:	
Instrument:	LS 230, VSM Plus
Run number:	2
Start time:	10:17  20 Jan 2022
Run length:	60
Optical model:	Fraunhofer.rfd   PIDS included
Obscuration:	10
PIDS Obscur:	41
Obscuration:	OK
Serial Number:	7205

From	0.0400
To	2000
Volume 	100
Mean:	70.35
Median:	34.34
D(0,0):	0.105
Mean/Median ratio:	2.048
Mode:	34.58
S.D.:	98.86
Variance:	9773
C.V.:	140.5
Skewness:	2.812
Kurtosis:	9.182
d10:	5.298
d50:	34.34
d90:	188.0
Specific Surf. Area:	7728

% <	Size 
10	5.30
25	14.8
50	34.3
75	76.8
90	188

% >	Size 
10	188
25	76.8
50	34.3
75	14.8
90	5.30

Size 	% <
1	2.19
10	17.6
100	80.4
1000	100

Size 	% >
1	97.8
10	82.4
100	19.6
1000	0

Particle	MZdry_MZPB
Diameter	_02.$ls
um	Volume
	% <
2	4.23
5	9.50
16	26.8
20	32.6
32	47.6
50	62.7
63	69.9
125	84.2
250	93.7
500	98.9
1000	100
2000	100

Channel	Cum. >
Diameter	Volume
(Lower)	%
um	
0.040	100
0.044	100
0.048	99.999
0.053	99.998
0.058	99.997
0.064	99.99
0.070	99.99
0.077	99.98
0.084	99.97
0.093	99.95
0.102	99.9
0.112	99.9
0.122	99.9
0.134	99.9
0.148	99.8
0.162	99.8
0.178	99.8
0.195	99.7
0.214	99.7
0.235	99.6
0.258	99.6
0.284	99.5
0.311	99.4
0.342	99.3
0.375	99.3
0.412	99.2
0.452	99.1
0.496	99.0
0.545	98.8
0.598	98.7
0.656	98.6
0.721	98.4
0.791	98.3
0.868	98.1
0.953	97.9
1.047	97.7
1.149	97.5
1.261	97.2
1.385	97.0
1.520	96.7
1.668	96.4
1.832	96.1
2.011	95.7
2.207	95.4
2.423	95.0
2.660	94.5
2.920	94.1
3.205	93.6
3.519	93.0
3.863	92.4
4.240	91.8
4.655	91.1
5.110	90.3
5.610	89.5
6.158	88.6
6.760	87.6
7.421	86.5
8.147	85.3
8.943	84.1
9.817	82.7
10.78	81.2
11.83	79.5
12.99	77.8
14.26	75.8
15.65	73.7
17.18	71.5
18.86	69.0
20.70	66.4
22.73	63.6
24.95	60.7
27.39	57.6
30.07	54.5
33.01	51.3
36.24	48.1
39.78	44.9
43.67	41.8
47.94	38.7
52.62	35.6
57.77	32.7
63.41	29.9
69.61	27.4
76.42	25.1
83.89	23.0
92.09	21.1
101.1	19.4
111.0	17.7
121.8	16.2
133.7	14.7
146.8	13.4
161.2	12.1
176.9	10.8
194.2	9.56
213.2	8.33
234.1	7.12
256.9	5.95
282.1	4.88
309.6	3.96
339.9	3.23
373.1	2.63
409.6	2.13
449.7	1.65
493.6	1.16
541.9	0.69
594.9	0.31
653.0	0.089
716.8	0.013
786.9	0.00064
863.9	0
948.3	0
1041	0
1143	0
1255	0
1377	0
1512	0
1660	0
1822	0
2000	0

