LS	2022-01-20  12:21
File name:	MZdry_MZPB_04.$ls
File ID:	MZdry
Sample ID:	MZPB
Operator:	HBUCKLAND
Bar code:	
Comment 1:	
Comment 2:	
Instrument:	LS 230, VSM Plus
Run number:	4
Start time:	2022-01-20  12:20
Run length:	61
Optical model:	Fraunhofer.rfd   PIDS included
Obscuration:	13
PIDS Obscur:	43
Obscuration:	High
Serial Number:	7205

From	0.0400
To	2000
Volume 	100
Mean:	69.70
Median:	35.10
D(0,0):	0.106
Mean/Median ratio:	1.986
Mode:	34.58
S.D.:	93.89
Variance:	8816
C.V.:	134.7
Skewness:	2.586
Kurtosis:	7.476
d10:	5.348
d50:	35.10
d90:	183.1
Specific Surf. Area:	7592

% <	Size 
10	5.35
25	15.0
50	35.1
75	78.9
90	183

% >	Size 
10	183
25	78.9
50	35.1
75	15.0
90	5.35

Size 	% <
1	2.15
10	17.4
100	80.1
1000	100

Size 	% >
1	97.8
10	82.6
100	19.9
1000	0

Particle	MZdry_MZPB
Diameter	_04.$ls
um	Volume
	% <
2	4.19
5	9.43
16	26.4
20	32.1
32	46.9
50	61.8
63	69.0
125	84.1
250	93.7
500	99.4
1000	100
2000	100

Channel	Cum. >
Diameter	Volume
(Lower)	%
um	
0.040	100
0.044	100
0.048	99.999
0.053	99.999
0.058	99.997
0.064	99.99
0.070	99.99
0.077	99.98
0.084	99.97
0.093	99.96
0.102	99.9
0.112	99.9
0.122	99.9
0.134	99.9
0.148	99.8
0.162	99.8
0.178	99.8
0.195	99.7
0.214	99.7
0.235	99.6
0.258	99.6
0.284	99.5
0.311	99.4
0.342	99.4
0.375	99.3
0.412	99.2
0.452	99.1
0.496	99.0
0.545	98.9
0.598	98.8
0.656	98.6
0.721	98.5
0.791	98.3
0.868	98.1
0.953	98.0
1.047	97.7
1.149	97.5
1.261	97.3
1.385	97.0
1.520	96.8
1.668	96.5
1.832	96.1
2.011	95.8
2.207	95.4
2.423	95.0
2.660	94.6
2.920	94.1
3.205	93.6
3.519	93.1
3.863	92.5
4.240	91.8
4.655	91.1
5.110	90.4
5.610	89.6
6.158	88.7
6.760	87.7
7.421	86.7
8.147	85.5
8.943	84.3
9.817	82.9
10.78	81.4
11.83	79.8
12.99	78.1
14.26	76.2
15.65	74.1
17.18	71.9
18.86	69.4
20.70	66.9
22.73	64.1
24.95	61.3
27.39	58.3
30.07	55.2
33.01	52.0
36.24	48.9
39.78	45.7
43.67	42.6
47.94	39.5
52.62	36.5
57.77	33.6
63.41	30.8
69.61	28.2
76.42	25.7
83.89	23.5
92.09	21.5
101.1	19.7
111.0	17.9
121.8	16.3
133.7	14.7
146.8	13.2
161.2	11.8
176.9	10.4
194.2	9.19
213.2	8.02
234.1	6.95
256.9	5.95
282.1	5.00
309.6	4.10
339.9	3.24
373.1	2.44
409.6	1.72
449.7	1.11
493.6	0.63
541.9	0.29
594.9	0.094
653.0	0.017
716.8	0.0013
786.9	0
863.9	0
948.3	0
1041	0
1143	0
1255	0
1377	0
1512	0
1660	0
1822	0
2000	0

