LS	09/11/2022 14:05									
File name:	IODP_STV0125-12_03.$ls									
File ID:	IODP									
Sample ID:	STV0125-127									
Operator:	RG									
Bar code:										
Comment 1:										
Comment 2:										
Instrument:	"LS 230, VSM Plus"									
Run number:	3									
Start time:	09/11/2022 14:04									
Run length:	62									
Optical model:	Fraunhofer.rfd   PIDS included									
Obscuration:	12									
PIDS Obscur:	47									
Obscuration:	OK									
Serial Number:	7205									
										
From	0.04									
To	2000									
Volume 	100									
Mean:	102.8									
Median:	77.3									
"D(0,0):"	0.12									
Mean/Median ratio:	1.33									
Mode:	140.1									
S.D.:	104.9									
Variance:	10998									
C.V.:	102									
Skewness:	2.442									
Kurtosis:	9.463									
d10:	8.294									
d50:	77.3									
d90:	217.3									
Specific Surf. Area:	4921									
										
% <	Size 									
10	8.29									
25	27.2									
50	77.3									
75	146									
90	217									
										
% >	Size 									
10	217									
25	146									
50	77.3									
75	27.2									
90	8.29									
										
Size 	% <									
1	1.45									
10	11.5									
100	59.2									
1000	99.998									
										
Size 	% >									
1	98.5									
10	88.5									
100	40.8									
1000	0.0019									
										
Particle	IODP_STV012	Volume	Volume							
Diameter	5-12_03.$ls	% >	%							
um	Volume									
	% <									
0.4	0.42	99.6	0.15							
0.488	0.57	99.4	0.35							
0.69	0.91	99.1	0.5							
0.98	1.42	98.6	0.68							
1.38	2.09	97.9	0.9							
1.95	2.99	97	1.14							
2.76	4.13	95.9	1.42							
3.91	5.55	94.5	1.75							
5.52	7.3	92.7	2.25							
7.81	9.55	90.5	2.92							
11.05	12.5	87.5	3.87							
15.63	16.3	83.7	5.05							
22.1	21.4	78.6	6.19							
31.3	27.6	72.4	7.1							
44.2	34.7	65.3	8.81							
62.5	43.5	56.5	11.1							
88.4	54.6	45.4	13.7							
125	68.3	31.7	14.6							
177	82.8	17.2	10.7							
250	93.6	6.44	3.77							
354	97.3	2.67	1.21							
500	98.5	1.46	1.21							
707	99.7	0.26	0.26							
1000	99.998	0.0019	0.0019							
1414	100	0	0							
2000	100	0	0							
2828	100	0	0							
4000	100	0								
										
Channel	Channel	Channel	5-12_03.$ls	Cum. <	Cum. >	Diff.				
Diameter	Diameter	Diameter	Diff.	Volume	Volume	Number				
(Lower)	(Center)	(Upper)	Volume	%	%	%				
um	um	um	%							
0.04	0.042	0.044	0.0001	0	100	1.38				
0.044	0.046	0.048	0.00014	0.0001	100	1.43				
0.048	0.05	0.053	0.00023	0.00024	100	1.8				
0.053	0.055	0.058	0.00047	0.00048	100	2.74				
0.058	0.061	0.064	0.00097	0.00095	99.999	4.28				
0.064	0.067	0.07	0.0018	0.0019	99.998	6.03				
0.07	0.073	0.077	0.0029	0.0037	99.996	7.21				
0.077	0.08	0.084	0.004	0.0066	99.99	7.58				
0.084	0.088	0.093	0.0052	0.011	99.99	7.43				
0.093	0.097	0.102	0.0065	0.016	99.98	7.11				
0.102	0.106	0.112	0.0081	0.022	99.98	6.67				
0.112	0.117	0.122	0.0098	0.03	99.97	6.08				
0.122	0.128	0.134	0.012	0.04	99.96	5.41				
0.134	0.141	0.148	0.013	0.052	99.9	4.77				
0.148	0.155	0.162	0.016	0.065	99.9	4.19				
0.162	0.17	0.178	0.018	0.081	99.9	3.66				
0.178	0.186	0.195	0.021	0.099	99.9	3.18				
0.195	0.205	0.214	0.024	0.12	99.9	2.77				
0.214	0.225	0.235	0.028	0.14	99.9	2.41				
0.235	0.247	0.258	0.032	0.17	99.8	2.1				
0.258	0.271	0.284	0.037	0.2	99.8	1.83				
0.284	0.297	0.311	0.042	0.24	99.8	1.58				
0.311	0.326	0.342	0.047	0.28	99.7	1.35				
0.342	0.358	0.375	0.053	0.33	99.7	1.15				
0.375	0.393	0.412	0.06	0.38	99.6	0.97				
0.412	0.431	0.452	0.067	0.44	99.6	0.82				
0.452	0.474	0.496	0.074	0.51	99.5	0.69				
0.496	0.52	0.545	0.082	0.58	99.4	0.58				
0.545	0.571	0.598	0.091	0.66	99.3	0.49				
0.598	0.627	0.656	0.1	0.76	99.2	0.41				
0.656	0.688	0.721	0.11	0.86	99.1	0.34				
0.721	0.755	0.791	0.12	0.97	99	0.28				
0.791	0.829	0.868	0.13	1.09	98.9	0.23				
0.868	0.91	0.953	0.15	1.22	98.8	0.19				
0.953	0.999	1.047	0.16	1.37	98.6	0.16				
1.047	1.097	1.149	0.17	1.53	98.5	0.13				
1.149	1.204	1.261	0.19	1.71	98.3	0.11				
1.261	1.321	1.385	0.2	1.9	98.1	0.088				
1.385	1.451	1.52	0.22	2.1	97.9	0.072				
1.52	1.592	1.668	0.24	2.32	97.7	0.058				
1.668	1.748	1.832	0.25	2.56	97.4	0.047				
1.832	1.919	2.011	0.27	2.81	97.2	0.038				
2.011	2.107	2.207	0.29	3.08	96.9	0.031				
2.207	2.313	2.423	0.31	3.37	96.6	0.024				
2.423	2.539	2.66	0.32	3.68	96.3	0.02				
2.66	2.787	2.92	0.34	4	96	0.016				
2.92	3.059	3.205	0.36	4.34	95.7	0.013				
3.205	3.358	3.519	0.38	4.7	95.3	0.01				
3.519	3.687	3.863	0.41	5.09	94.9	0.0081				
3.863	4.047	4.24	0.43	5.49	94.5	0.0065				
