LS	09/11/2022 15:12																	
File name:	IODP_STV0166-16_02.$ls																	
File ID:	IODP																	
Sample ID:	STV0166-167																	
Operator:	RG																	
Bar code:																		
Comment 1:																		
Comment 2:																		
Instrument:	"LS 230, VSM Plus"																	
Run number:	2																	
Start time:	09/11/2022 15:11																	
Run length:	62																	
Optical model:	Fraunhofer.rfd   PIDS included																	
Obscuration:	11																	
PIDS Obscur:	37																	
Obscuration:	OK																	
Serial Number:	7205																	
																		
From	0.04																	
To	2000																	
Volume 	100																	
Mean:	69.98																	
Median:	51.24																	
"D(0,0):"	0.109																	
Mean/Median ratio:	1.366																	
Mode:	66.44																	
S.D.:	88.17																	
Variance:	7774																	
C.V.:	126																	
Skewness:	4.168																	
Kurtosis:	21.73																	
d10:	8.317																	
d50:	51.24																	
d90:	123.1																	
Specific Surf. Area:	5530																	
																		
% <	Size 																	
10	8.32																	
25	25.3																	
50	51.2																	
75	82.3																	
90	123																	
																		
% >	Size 																	
10	123																	
25	82.3																	
50	51.2																	
75	25.3																	
90	8.32																	
																		
Size 	% <																	
1	1.55																	
10	11.5																	
100	83.7																	
1000	100																	
																		
Size 	% >																	
1	98.4																	
10	88.5																	
100	16.3																	
1000	0																	
																		
Particle	IODP_STV016	Volume	Volume	IODP_STV001	Volume	Volume	IODP_STV001	Volume	Volume	IODP_STV001	Volume	Volume						
Diameter	6-16_02.$ls	% >	%	5-16_01.$ls	% >	%	5-16_04.$ls	% >	%	5-16_02.$ls	% >	%						
um	Volume			Volume			Volume			Volume								
	% <			% <			% <			% <								
0.4	0.53	99.5	0.15	0.56	99.4	0.15	0.58	99.4	0.15	0.58	99.4	0.15						
0.488	0.68	99.3	0.35	0.7	99.3	0.33	0.73	99.3	0.32	0.73	99.3	0.34						
0.69	1.03	99	0.49	1.03	99	0.45	1.05	98.9	0.44	1.07	98.9	0.47						
0.98	1.52	98.5	0.65	1.48	98.5	0.58	1.49	98.5	0.57	1.53	98.5	0.61						
1.38	2.17	97.8	0.87	2.06	97.9	0.77	2.07	97.9	0.76	2.14	97.9	0.81						
1.95	3.03	97	1.12	2.83	97.2	0.98	2.82	97.2	0.98	2.95	97	1.04						
2.76	4.16	95.8	1.42	3.8	96.2	1.23	3.8	96.2	1.24	3.99	96	1.32						
3.91	5.57	94.4	1.75	5.03	95	1.54	5.04	95	1.56	5.31	94.7	1.65						
5.52	7.32	92.7	2.21	6.57	93.4	2.01	6.6	93.4	2.05	6.96	93	2.14						
7.81	9.54	90.5	2.85	8.57	91.4	2.71	8.64	91.4	2.78	9.1	90.9	2.85						
11.05	12.4	87.6	3.91	11.3	88.7	3.91	11.4	88.6	4.07	11.9	88.1	4.05						
15.63	16.3	83.7	5.75	15.2	84.8	6.04	15.5	84.5	6.35	16	84	6.19						
22.1	22	78	8.64	21.2	78.8	8.99	21.8	78.2	9.46	22.2	77.8	9.1						
31.3	30.7	69.3	12.5	30.2	69.8	11.3	31.3	68.7	11.9	31.3	68.7	11.4						
44.2	43.2	56.8	17.2	41.6	58.4	12.2	43.2	56.8	12.6	42.7	57.3	12						
62.5	60.4	39.6	18.1	53.7	46.3	11	55.8	44.2	11.2	54.7	45.3	10.6						
88.4	78.4	21.6	11.9	64.8	35.2	9.48	67	33	8.91	65.3	34.7	9.09						
125	90.3	9.71	4.4	74.2	25.8	9.7	75.9	24.1	8.37	74.4	25.6	9.42						
177	94.7	5.31	1.91	84	16	9.11	84.3	15.7	8.53	83.8	16.2	9.19						
250	96.6	3.39	1.01	93.1	6.93	3.46	92.8	7.21	3.52	93	7.02	3.67						
354	97.6	2.38	1.02	96.5	3.48	1.38	96.3	3.69	1.86	96.6	3.36	1.49						
