LS	09/11/2022 16:07													
File name:	IODP_STV0226-23_06.$ls													
File ID:	IODP													
Sample ID:	STV0226-230													
Operator:	RG													
Bar code:														
Comment 1:														
Comment 2:														
Instrument:	"LS 230, VSM Plus"													
Run number:	6													
Start time:	09/11/2022 16:06													
Run length:	61													
Optical model:	Fraunhofer.rfd   PIDS included													
Obscuration:	15													
PIDS Obscur:	43													
Obscuration:	High													
Serial Number:	7205													
														
From	0.04													
To	2000													
Volume 	100													
Mean:	47.53													
Median:	34.21													
"D(0,0):"	0.107													
Mean/Median ratio:	1.389													
Mode:	55.13													
S.D.:	47.84													
Variance:	2288													
C.V.:	100.6													
Skewness:	2.115													
Kurtosis:	5.588													
d10:	4.968													
d50:	34.21													
d90:	100.7													
Specific Surf. Area:	7926													
														
% <	Size 													
10	4.97													
25	15													
50	34.2													
75	63.7													
90	101													
														
% >	Size 													
10	101													
25	63.7													
50	34.2													
75	15													
90	4.97													
														
Size 	% <													
1	2.29													
10	17.8													
100	89.8													
1000	100													
														
Size 	% >													
1	97.7													
10	82.2													
100	10.2													
1000	0													
														
Particle	IODP_STV022	Volume	Volume	IODP_STV022	Volume	Volume	IODP_STV022	Volume	Volume					
Diameter	6-23_06.$ls	% >	%	6-23_02.$ls	% >	%	6-23_01.$ls	% >	%					
um	Volume			Volume			Volume							
	% <			% <			% <							
0.4	0.8	99.2	0.23	0.81	99.2	0.22	0.82	99.2	0.22					
0.488	1.03	99	0.51	1.03	99	0.5	1.04	99	0.49					
0.69	1.53	98.5	0.7	1.53	98.5	0.68	1.54	98.5	0.67					
0.98	2.24	97.8	0.93	2.21	97.8	0.88	2.2	97.8	0.86					
1.38	3.17	96.8	1.25	3.09	96.9	1.16	3.06	96.9	1.13					
1.95	4.42	95.6	1.64	4.25	95.7	1.51	4.19	95.8	1.46					
2.76	6.06	93.9	2.12	5.76	94.2	1.94	5.65	94.3	1.87					
3.91	8.19	91.8	2.73	7.69	92.3	2.5	7.53	92.5	2.42					
5.52	10.9	89.1	3.61	10.2	89.8	3.33	9.94	90.1	3.23					
7.81	14.5	85.5	4.82	13.5	86.5	4.48	13.2	86.8	4.37					
11.05	19.3	80.7	6.6	18	82	6.21	17.5	82.5	6.08					
15.63	25.9	74.1	9.08	24.2	75.8	8.66	23.6	76.4	8.54					
22.1	35	65	11.7	32.9	67.1	11.4	32.2	67.8	11.4					
31.3	46.7	53.3	13.3	44.3	55.7	13.3	43.5	56.5	13.5					
44.2	60	40	14.2	57.6	42.4	14.4	57.1	42.9	14.9					
62.5	74.2	25.8	12.3	72	28	12.5	72	28	12.9					
88.4	86.5	13.5	7.12	84.5	15.5	7.47	84.8	15.2	7.71					
125	93.7	6.35	2.89	92	8.05	3.21	92.6	7.44	3.4					
177	96.5	3.46	2.74	95.2	4.83	1.76	96	4.04	1.69					
250	99.3	0.71	0.71	96.9	3.08	0.97	97.7	2.35	0.78					
354	99.998	0.0015	0.0015	97.9	2.11	1.04	98.4	1.57	0.75					
500	100	0	0	98.9	1.07	0.96	99.2	0.81	0.8					
707	100	0	0	99.9	0.11	0.11	99.99	0.01	0.01					
1000	100	0	0	100	0	0	100	0	0					
1414	100	0	0	100	0	0	100	0	0					
2000	100	0	0	100	0	0	100	0	0					
2828	100	0	0	100	0	0	100	0	0					
4000	100	0		100	0		100	0						
														
Channel	Channel	Channel	6-23_06.$ls	Cum. <	Cum. >	Diff.	6-23_02.$ls	Cum. <	Cum. >	Diff.	6-23_01.$ls	Cum. <	Cum. >	Diff.
Diameter	Diameter	Diameter	Diff.	Volume	Volume	Number	Diff.	Volume	Volume	Number	Diff.	Volume	Volume	Number
(Lower)	(Center)	(Upper)	Volume	%	%	%	Volume	%	%	%	Volume	%	%	%
um	um	um	%				%				%			
0.04	0.042	0.044	0.00032	0	100	1.77	0.00034	0	100	1.82	0.00035	0	100	1.83
0.044	0.046	0.048	0.00042	0.00032	100	1.78	0.00044	0.00034	100	1.8	0.00046	0.00035	100	1.82
0.048	0.05	0.053	0.00068	0.00074	99.999	2.17	0.00071	0.00078	99.999	2.18	0.00074	0.00081	99.999	2.2
0.053	0.055	0.058	0.0014	0.0014	99.999	3.3	0.0014	0.0015	99.999	3.3	0.0015	0.0015	99.998	3.34
0.058	0.061	0.064	0.0029	0.0028	99.997	5.2	0.003	0.0029	99.997	5.21	0.0031	0.003	99.997	5.27
0.064	0.067	0.07	0.0053	0.0057	99.99	7.3	0.0055	0.0059	99.99	7.35	0.0057	0.0061	99.99	7.42
0.07	0.073	0.077	0.0082	0.011	99.99	8.49	0.0085	0.011	99.99	8.58	0.0088	0.012	99.99	8.64
0.077	0.08	0.084	0.011	0.019	99.98	8.61	0.011	0.02	99.98	8.71	0.012	0.021	99.98	8.75
0.084	0.088	0.093	0.014	0.03	99.97	8.17	0.014	0.031	99.97	8.25	0.015	0.033	99.97	8.28
0.093	0.097	0.102	0.017	0.044	99.96	7.57	0.018	0.046	99.95	7.62	0.018	0.047	99.95	7.64
0.102	0.106	0.112	0.02	0.061	99.9	6.85	0.021	0.063	99.9	6.88	0.022	0.065	99.9	6.89
0.112	0.117	0.122	0.024	0.081	99.9	6.03	0.024	0.084	99.9	6.05	0.025	0.087	99.9	6.04
0.122	0.128	0.134	0.027	0.1	99.9	5.21	0.028	0.11	99.9	5.21	0.028	0.11	99.9	5.2
0.134	0.141	0.148	0.03	0.13	99.9	4.45	0.031	0.14	99.9	4.44	0.032	0.14	99.9	4.43
0.148	0.155	0.162	0.034	0.16	99.8	3.77	0.035	0.17	99.8	3.76	0.036	0.17	99.8	3.73
0.162	0.17	0.178	0.038	0.2	99.8	3.18	0.039	0.2	99.8	3.15	0.04	0.21	99.8	3.13
0.178	0.186	0.195	0.042	0.23	99.8	2.67	0.043	0.24	99.8	2.64	0.044	0.25	99.8	2.62
0.195	0.205	0.214	0.047	0.28	99.7	2.25	0.048	0.29	99.7	2.21	0.049	0.29	99.7	2.19
0.214	0.225	0.235	0.052	0.32	99.7	1.89	0.053	0.33	99.7	1.85	0.054	0.34	99.7	1.83
0.235	0.247	0.258	0.058	0.38	99.6	1.59	0.059	0.39	99.6	1.55	0.059	0.39	99.6	1.53
0.258	0.271	0.284	0.065	0.43	99.6	1.33	0.065	0.45	99.6	1.3	0.066	0.45	99.5	1.28
0.284	0.297	0.311	0.072	0.5	99.5	1.12	0.072	0.51	99.5	1.08	0.072	0.52	99.5	1.06
