label,STV0002,STV0015,STV0017,STV0122,STV0125,STV0128,STV0132,STV0166,STV0168,STV0171,STV0226,STV0255,STV0259,STV0319,STV0323,STV0325
type,Mass_perc,Mass_perc,Mass_perc,LPS,LPS,Mass_perc,LPS,LPS,LPS,LPS,LPS,LPS,LPS,LPS,LPS,LPS
eruption,Aso-4,AT,Aso-4,AT,AT,AT,Aso-4,AT,AT,Aso-4,AT,AT,AT,Unk,Unk,Unk
core,Core_1175,Core_1176,Core_1176,Core_1427,Core_1427,Core_1427,Core_1427,Core_1429,Core_1429,Core_1429,Core_1424,Core_1426,Core_1426,Core_C0001,Core_C0001,Core_C0001
-2,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0
-1.5,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0
-1,1.32,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0
-0.5,1.97,0.00,1.86,0,0,0.00,0,0,0.01,0,0,0,0,0.01,0.01,0.08
0,4.61,0.99,5.12,0.07,0.24,0.00,0.01,0.18,0.34,0.35,0.02,0,0.1,0.36,0.48,0.32
0.5,7.89,2.18,6.05,0.83,1.27,0.00,0.65,1.24,0.94,0.7,0.49,0,1.39,0.55,0.88,0.81
1,9.21,2.77,7.91,0.79,1.25,0.00,1.44,0.97,0.5,0.53,0.44,0,1.48,1.04,0.65,1.67
1.5,7.89,4.95,9.77,1.97,3.92,4.38,3.94,1.04,1.62,0.72,0.79,0.18,4.06,4.42,2.54,6.34
2,5.92,6.14,8.84,5.62,10.78,11.82,7.33,2.08,6.39,2.84,2.22,3,9.98,10.4,8.19,14.97
2.5,5.26,8.12,6.98,8.93,14.57,16.63,7.65,4.48,13.72,8.46,3.08,4.31,10.82,11.82,14.25,17.43
3,5.91,8.80,4.65,11.44,13.7,15.58,6.96,11.8,19.23,14.32,7.34,7.8,10.47,9.75,15.63,12.82
3.5,6.24,10.66,6.93,12.18,11.18,9.06,7.37,17.88,17.02,17.3,12.5,11.7,9.62,9,13.45,9.25
4,6.44,12.10,8.68,11.18,8.86,7.27,8.16,17.02,11.13,15.8,14.47,11.78,8.41,8.85,10.33,7.35
4.5,6.00,11.56,8.55,9.49,7.12,6.58,8.3,12.4,6.6,11.73,13.4,10.67,7.28,8.36,7.86,6.05
5,5.71,9.30,7.31,8.36,6.2,6.36,8.74,8.64,4.4,8.18,11.57,10.17,6.74,7.94,6.41,5.28
5.5,4.91,6.32,5.28,6.79,5.03,5.37,8.22,5.79,3.25,5.36,8.84,8.82,5.81,6.55,4.84,4.22
6,4.14,4.11,3.55,5.24,3.81,4.08,7.09,3.96,2.65,3.58,6.36,7.08,4.76,5.03,3.54,3.2
6.5,3.51,2.88,2.38,4.03,2.85,3.02,5.85,2.9,2.35,2.53,4.61,5.65,3.99,3.84,2.6,2.41
7,2.97,2.15,1.61,3.14,2.18,2.27,4.73,2.25,2.12,1.85,3.43,4.56,3.41,2.97,1.96,1.84
7.5,2.45,1.65,1.08,2.46,1.7,1.75,3.69,1.77,1.85,1.37,2.58,3.65,2.87,2.3,1.5,1.42
8,1.98,1.32,0.77,1.97,1.37,1.39,2.81,1.44,1.56,1.03,2,2.95,2.38,1.8,1.2,1.12
8.5,1.51,1.05,0.57,1.55,1.1,1.12,2.03,1.13,1.22,0.78,1.55,2.3,1.86,1.4,0.96,0.89
9,1.11,0.80,0.45,1.2,0.87,0.90,1.43,0.88,0.9,0.59,1.19,1.72,1.38,1.06,0.76,0.7
9.5,0.81,0.61,0.37,0.89,0.65,0.69,1,0.65,0.64,0.46,0.9,1.23,0.99,0.79,0.59,0.54
10,0.62,0.46,0.32,0.65,0.48,0.54,0.76,0.49,0.47,0.38,0.69,0.88,0.72,0.59,0.45,0.41
10.5,0.47,0.33,0.26,0.45,0.34,0.39,0.56,0.35,0.34,0.3,0.5,0.6,0.5,0.41,0.32,0.3
11,0.22,0.16,0.13,0.19,0.14,0.18,0.26,0.16,0.15,0.15,0.22,0.25,0.22,0.18,0.14,0.13
11.5,0.91,0.58,0.61,0.55,0.42,0.63,1.02,0.54,0.58,0.67,0.81,0.72,0.75,0.58,0.45,0.45
